Ethnic group,Age,Occupation type,Count
Other,16-19,Administrative and Secretarial Occupations,515
Other,16-19,Skilled Trades Occupations,450
Other,16-19,Caring Leisure and Other Service Occupations,780
Other,16-19,Sales and Customer Service Occupations,2030
Other,16-19,Process Plant and Machine Operatives,405
Other,16-19,Elementary Occupations,2310
Other,20-24,Managers Directors and Senior Officials,1630
Other,20-24,Professional Occupations,5865
Other,20-24,Associate Professional and Technical Occupations,4675
Other,20-24,Administrative and Secretarial Occupations,3130
Other,20-24,Skilled Trades Occupations,2395
Other,20-24,Caring Leisure and Other Service Occupations,3710
Other,20-24,Sales and Customer Service Occupations,6255
Other,20-24,Process Plant and Machine Operatives,2120
Other,20-24,Elementary Occupations,7510
Other,25-29,Managers Directors and Senior Officials,4575
Other,25-29,Professional Occupations,17320
Other,25-29,Associate Professional and Technical Occupations,8770
Other,25-29,Administrative and Secretarial Occupations,4710
Other,25-29,Skilled Trades Occupations,4200
Other,25-29,Caring Leisure and Other Service Occupations,4715
Other,25-29,Sales and Customer Service Occupations,5285
Other,25-29,Process Plant and Machine Operatives,3490
Other,25-29,Elementary Occupations,8635
Other,30-34,Managers Directors and Senior Officials,8070
Other,30-34,Professional Occupations,19805
Other,30-34,Associate Professional and Technical Occupations,9300
Other,30-34,Administrative and Secretarial Occupations,4665
Other,30-34,Skilled Trades Occupations,5595
Other,30-34,Caring Leisure and Other Service Occupations,5615
Other,30-34,Sales and Customer Service Occupations,5120
Other,30-34,Process Plant and Machine Operatives,5245
Other,30-34,Elementary Occupations,9685
Other,35-39,Managers Directors and Senior Officials,10145
Other,35-39,Professional Occupations,18330
Other,35-39,Associate Professional and Technical Occupations,8365
Other,35-39,Administrative and Secretarial Occupations,4840
Other,35-39,Skilled Trades Occupations,6850
Other,35-39,Caring Leisure and Other Service Occupations,6175
Other,35-39,Sales and Customer Service Occupations,5240
Other,35-39,Process Plant and Machine Operatives,6330
Other,35-39,Elementary Occupations,10070
Other,40-44,Managers Directors and Senior Officials,10045
Other,40-44,Professional Occupations,15225
Other,40-44,Associate Professional and Technical Occupations,7285
Other,40-44,Administrative and Secretarial Occupations,4525
Other,40-44,Skilled Trades Occupations,7095
Other,40-44,Caring Leisure and Other Service Occupations,6555
Other,40-44,Sales and Customer Service Occupations,5065
Other,40-44,Process Plant and Machine Operatives,6870
Other,40-44,Elementary Occupations,10920
Other,45-49,Managers Directors and Senior Officials,8090
Other,45-49,Professional Occupations,12225
Other,45-49,Associate Professional and Technical Occupations,5345
Other,45-49,Administrative and Secretarial Occupations,3480
Other,45-49,Skilled Trades Occupations,5920
Other,45-49,Caring Leisure and Other Service Occupations,6035
Other,45-49,Sales and Customer Service Occupations,4160
Other,45-49,Process Plant and Machine Operatives,6535
Other,45-49,Elementary Occupations,9830
Other,50-54,Managers Directors and Senior Officials,6530
Other,50-54,Professional Occupations,9295
Other,50-54,Associate Professional and Technical Occupations,4265
Other,50-54,Administrative and Secretarial Occupations,2965
Other,50-54,Skilled Trades Occupations,4750
Other,50-54,Caring Leisure and Other Service Occupations,5100
Other,50-54,Sales and Customer Service Occupations,3235
